id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,Pressure,Temperature,Alttitude
162,0.67,-0.63,0.45,10.37,-14.07,-33.74,-16.63,-17.78,22.63,240.85,13.48,10016.67
163,0.11,0.26,-0.41,44.52,-40.82,48.56,-33.41,8.96,5.85,241.15,11.78,10013.33
164,0.37,0.07,-0.0,-14.89,7.82,-0.08,11.52,-0.41,17.78,240.98,23.71,10010.0
165,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-15.22,22.63,-8.96,241.12,11.6,10013.33
166,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,1.56,5.85,0.41,240.78,16.78,10003.33
167,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-54.82,17.78,-22.63,240.92,11.82,10000.0
168,0.48,-0.67,0.19,-37.45,-14.07,-55.96,-24.37,-8.96,-5.85,240.75,8.41,10013.33
169,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-44.85,0.41,-17.78,241.05,10.15,10016.67
170,0.19,0.04,-0.15,14.07,7.82,-22.96,4.11,-22.63,8.96,240.88,13.41,10013.33
171,-0.37,0.63,-0.26,66.74,-7.82,33.41,-37.11,-5.85,-0.41,241.02,15.22,10010.0
172,0.15,-0.3,0.67,21.81,48.56,-15.22,-16.63,-17.78,22.63,240.85,13.48,10013.33
173,-0.0,-0.07,0.11,44.85,-0.08,37.45,-35.97,8.96,5.85,241.15,11.78,10003.33
174,0.59,-0.63,0.37,-26.0,15.56,-7.48,8.96,-0.41,17.78,240.98,23.71,10000.0
175,0.11,0.23,-0.48,-6.67,-40.82,22.96,-15.22,22.63,-8.96,241.12,11.6,10013.33
176,0.37,0.04,0.04,-66.74,7.82,-33.41,4.11,5.85,0.41,240.78,16.78,10016.67
177,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-52.26,17.78,-22.63,240.92,11.82,10013.33
178,0.04,-0.37,0.59,-44.85,-10.7,-26.67,-21.81,-8.96,-5.85,240.75,8.41,10010.0
179,-0.19,-0.11,0.11,26.0,-59.34,7.48,-44.85,0.41,-17.78,241.05,10.15,10013.33
180,0.67,-0.63,0.45,10.37,-14.07,-33.74,1.56,-22.63,8.96,240.88,13.41,10003.33
181,0.11,0.26,-0.41,44.52,-40.82,48.56,-39.67,-5.85,-0.41,241.02,15.22,10000.0
182,0.37,0.07,-0.0,-14.89,7.82,-0.08,-16.63,-17.78,22.63,240.85,13.48,10013.33
183,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-33.41,8.96,5.85,241.15,11.78,10016.67
184,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,11.52,-0.41,17.78,240.98,23.71,10013.33
185,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-15.22,22.63,-8.96,241.12,11.6,10010.0
186,0.48,-0.67,0.19,-37.45,-14.07,-55.96,1.56,5.85,0.41,240.78,16.78,10013.33
187,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-54.82,17.78,-22.63,240.92,11.82,10003.33
188,0.19,0.04,-0.15,14.07,7.82,-22.96,-24.37,-8.96,-5.85,240.75,8.41,10000.0
189,-0.37,0.63,-0.26,66.74,-7.82,33.41,-44.85,0.41,-17.78,241.05,10.15,10013.33
190,0.15,-0.3,0.67,21.81,48.56,-15.22,4.11,-22.63,8.96,240.88,13.41,10016.67
191,-0.0,-0.07,0.11,44.85,-0.08,37.45,-37.11,-5.85,-0.41,241.02,15.22,10013.33
192,0.59,-0.63,0.37,-26.0,15.56,-7.48,-16.63,-17.78,22.63,240.85,13.48,10010.0
193,0.11,0.23,-0.48,-6.67,-40.82,22.96,-35.97,8.96,5.85,241.15,11.78,10013.33
194,0.37,0.04,0.04,-66.74,7.82,-33.41,8.96,-0.41,17.78,240.98,23.71,10003.33
195,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-15.22,22.63,-8.96,241.12,11.6,10000.0
196,0.04,-0.37,0.59,-44.85,-10.7,-26.67,4.11,5.85,0.41,240.78,16.78,10013.33
197,-0.19,-0.11,0.11,26.0,-59.34,7.48,-52.26,17.78,-22.63,240.92,11.82,10016.67
198,0.67,-0.63,0.45,10.37,-14.07,-33.74,-21.81,-8.96,-5.85,240.75,8.41,10013.33
199,0.11,0.26,-0.41,44.52,-40.82,48.56,-44.85,0.41,-17.78,241.05,10.15,10010.0
200,0.37,0.07,-0.0,-14.89,7.82,-0.08,1.56,-22.63,8.96,240.88,13.41,10013.33
201,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-39.67,-5.85,-0.41,241.02,15.22,10003.33
202,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,-16.63,-17.78,22.63,240.85,13.48,10000.0
203,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-33.41,8.96,5.85,241.15,11.78,10013.33
204,0.48,-0.67,0.19,-37.45,-14.07,-55.96,11.52,-0.41,17.78,240.98,23.71,10016.67
205,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-15.22,22.63,-8.96,241.12,11.6,10013.33
206,0.19,0.04,-0.15,14.07,7.82,-22.96,1.56,5.85,0.41,240.78,16.78,10010.0
207,-0.37,0.63,-0.26,66.74,-7.82,33.41,-54.82,17.78,-22.63,240.92,11.82,10013.33
208,0.15,-0.3,0.67,21.81,48.56,-15.22,-24.37,-8.96,-5.85,240.75,8.41,10003.33
209,-0.0,-0.07,0.11,44.85,-0.08,37.45,-44.85,0.41,-17.78,241.05,10.15,10000.0
210,0.59,-0.63,0.37,-26.0,15.56,-7.48,4.11,-22.63,8.96,240.88,13.41,10013.33
211,0.11,0.23,-0.48,-6.67,-40.82,22.96,-37.11,-5.85,-0.41,241.02,15.22,10016.67
212,0.37,0.04,0.04,-66.74,7.82,-33.41,-16.63,-17.78,22.63,240.85,13.48,10013.33
213,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-35.97,8.96,5.85,241.15,11.78,10010.0
214,0.04,-0.37,0.59,-44.85,-10.7,-26.67,8.96,-0.41,17.78,240.98,23.71,10013.33
215,-0.19,-0.11,0.11,26.0,-59.34,7.48,-15.22,22.63,-8.96,241.12,11.6,10003.33
216,0.67,-0.63,0.45,10.37,-14.07,-33.74,4.11,5.85,0.41,240.78,16.78,10000.0
217,0.11,0.26,-0.41,44.52,-40.82,48.56,-52.26,17.78,-22.63,240.92,11.82,10013.33
218,0.37,0.07,-0.0,-14.89,7.82,-0.08,-21.81,-8.96,-5.85,240.75,8.41,10016.67
219,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-44.85,0.41,-17.78,241.05,10.15,10013.33
220,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,1.56,-22.63,8.96,240.88,13.41,10010.0
221,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-39.67,-5.85,-0.41,241.02,15.22,10013.33
222,0.48,-0.67,0.19,-37.45,-14.07,-55.96,-16.63,-17.78,22.63,240.85,13.48,10003.33
223,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-33.41,8.96,5.85,241.15,11.78,10000.0
224,0.19,0.04,-0.15,14.07,7.82,-22.96,11.52,-0.41,17.78,240.98,23.71,10013.33
225,-0.37,0.63,-0.26,66.74,-7.82,33.41,-15.22,22.63,-8.96,241.12,11.6,10016.67
226,0.15,-0.3,0.67,21.81,48.56,-15.22,1.56,5.85,0.41,240.78,16.78,10013.33
227,-0.0,-0.07,0.11,44.85,-0.08,37.45,-54.82,17.78,-22.63,240.92,11.82,10010.0
228,0.59,-0.63,0.37,-26.0,15.56,-7.48,-24.37,-8.96,-5.85,240.75,8.41,10013.33
229,0.11,0.23,-0.48,-6.67,-40.82,22.96,-44.85,0.41,-17.78,241.05,10.15,10003.33
230,0.37,0.04,0.04,-66.74,7.82,-33.41,4.11,-22.63,8.96,240.88,13.41,10000.0
231,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-37.11,-5.85,-0.41,241.02,15.22,10013.33
232,0.04,-0.37,0.59,-44.85,-10.7,-26.67,-16.63,-17.78,22.63,240.85,13.48,10016.67
233,-0.19,-0.11,0.11,26.0,-59.34,7.48,-35.97,8.96,5.85,241.15,11.78,10013.33
234,0.67,-0.63,0.45,10.37,-14.07,-33.74,8.96,-0.41,17.78,240.98,23.71,10010.0
235,0.11,0.26,-0.41,44.52,-40.82,48.56,-15.22,22.63,-8.96,241.12,11.6,10013.33
236,0.37,0.07,-0.0,-14.89,7.82,-0.08,4.11,5.85,0.41,240.78,16.78,10003.33
237,-0.56,0.56,-0.48,-6.67,-37.45,26.67,-52.26,17.78,-22.63,240.92,11.82,10000.0
238,-0.04,-0.3,0.34,-66.74,-10.7,-33.41,-21.81,-8.96,-5.85,240.75,8.41,10013.33
239,-0.37,-0.11,-0.04,-21.81,-59.34,0.41,-44.85,0.41,-17.78,241.05,10.15,10016.67
240,0.48,-0.67,0.19,-37.45,-14.07,-55.96,1.56,-22.63,8.96,240.88,13.41,10013.33
241,-0.0,0.34,-0.63,33.41,-40.82,-7.33,-39.67,-5.85,-0.41,241.02,15.22,10010.0
242,0.19,0.04,-0.15,14.07,7.82,-22.96,-16.63,-17.78,22.63,240.85,13.48,10013.33
243,-0.37,0.63,-0.26,66.74,-7.82,33.41,-33.41,8.96,5.85,241.15,11.78,10003.33
244,0.15,-0.3,0.67,21.81,48.56,-15.22,11.52,-0.41,17.78,240.98,23.71,10000.0
245,-0.0,-0.07,0.11,44.85,-0.08,37.45,-15.22,22.63,-8.96,241.12,11.6,10013.33
246,0.59,-0.63,0.37,-26.0,15.56,-7.48,1.56,5.85,0.41,240.78,16.78,10016.67
247,0.11,0.23,-0.48,-6.67,-40.82,22.96,-54.82,17.78,-22.63,240.92,11.82,10013.33
248,0.37,0.04,0.04,-66.74,7.82,-33.41,-24.37,-8.96,-5.85,240.75,8.41,10010.0
